"ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real","outcome","duration","launchyr","launchmo","avgpledge","log_goal","cat_goal","cat_dur","cat_dur2","cat_goal2"
100004195,"STUDIO IN THE SKY - A Documentary Feature Film (Canceled)","Other","Film & Video","USD","2014-08-10",65000,"2014-07-11",6240.57,"canceled",43,"US",6240.57,6240.57,65000,0,30,2014,7,145.129534883721,11.0821425488778,"(10.9,11.9]","(29,30]","(29,30]",6
100012079,"Chris Eger Band - New Nashville Record!","Other","Music","USD","2014-08-13",12000,"2014-07-14",13260,"successful",92,"US",13260,13260,12000,1,30,2014,7,144.130434782609,9.39266192877014,"(8.9,9.9]","(29,30]","(29,30]",4
1000476123,"Mama's Meatballs","Other","Food","USD","2014-08-07",100,"2014-07-08",0,"failed",0,"US",0,0,100,0,30,2014,7,0,4.60517018598809,"(3.9,4.9]","(29,30]","(29,30]",4
1000620551,"Islamic World - Strategic gaming with Islamic values","Other","Misc","GBP","2014-08-19",1925,"2014-07-20",293,"failed",5,"GB",500.63,485.72,3191.15,0,30,2014,7,58.6,8.06813663238121,"(7.9,8.9]","(29,30]","(29,30]",4
1000638156,"Jenny's Photography - Start own business and travel!!","Other","Photography","GBP","2014-08-29",500,"2014-07-30",10,"failed",1,"GB",16.98,16.58,829.12,0,30,2014,7,10,6.72036489737375,"(5.9,6.9]","(29,30]","(29,30]",4
1000648918,"ADVENT SAGA, DIGITAL TACTICAL CARD GAME","Other","Misc","USD","2014-07-31",70000,"2014-07-01",15542.11,"failed",260,"US",15542.11,15542.11,70000,0,30,2014,7,59.7773461538462,11.1562505210315,"(10.9,11.9]","(29,30]","(29,30]",6
1000992739,"Quick Query - Relaunch!","Playing Cards","Misc","USD","2014-08-18",750,"2014-07-19",1207,"successful",56,"US",1207,1207,750,1,30,2014,7,21.5535714285714,6.62007320653036,"(5.9,6.9]","(29,30]","(29,30]",4
100130008,"Gideon's Epic Forge","Other","Misc","USD","2014-08-30",550,"2014-07-31",708,"successful",23,"US",708,708,550,1,30,2014,7,30.7826086956522,6.30991827822652,"(5.9,6.9]","(29,30]","(29,30]",4
1001352451,"The Great Apple Pie","Other","Food","CAD","2014-08-15",15,"2014-07-16",6,"failed",2,"CA",5.59,5.5,13.76,0,30,2014,7,3,2.6217658325052,"(1.9,2.9]","(29,30]","(29,30]",3
1001508135,"Florida: A Broken Kingdom","Other","Misc","USD","2014-08-15",7000,"2014-07-16",0,"failed",0,"US",0,0,7000,0,30,2014,7,0,8.85366542803745,"(7.9,8.9]","(29,30]","(29,30]",4
