"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real","outcome","duration","launchyr","launchmo","avgpledge","category_combo","log_goal","norm_goal","duration2","duration3","predict","found","match"
"1",100004195,"STUDIO IN THE SKY - A Documentary Feature Film (Canceled)","Documentary","Film & Video","USD","2014-08-10",65000,"2014-07-11",6240.57,"canceled",43,"US",6240.57,6240.57,65000,0,30,2014,7,145.129534883721,"Film & Video:Documentary",11.0821425488778,1.11642699540518,6,-2.63394703160382,0,0,1
"2",100012079,"Chris Eger Band - New Nashville Record!","Music","Music","USD","2014-08-13",12000,"2014-07-14",13260,"successful",92,"US",13260,13260,12000,1,30,2014,7,144.130434782609,"Music:Music",9.39266192877014,0.566641886752665,6,-2.63394703160382,0,0,0
"3",1000476123,"Mama's Meatballs","Food","Food","USD","2014-08-07",100,"2014-07-08",0,"failed",0,"US",0,0,100,0,30,2014,7,0,"Food:Food",4.60517018598809,-0.37706877282399,6,-2.63394703160382,0,0,1
"4",1002125164,"Cause Art Gallery","Art","Art","USD","2014-07-16",4000,"2014-07-01",0,"failed",0,"US",0,0,4000,0,15,2014,7,0,"Art:Art",8.29404964010203,0.478776118268936,3,-17.6339470316038,0,0,1
"5",1002312219,"Vagabond: The Search for My Homeless Father","Documentary","Film & Video","USD","2014-08-10",5000,"2014-07-11",131,"failed",6,"US",131,131,5000,0,30,2014,7,21.8333333333333,"Film & Video:Documentary",8.51719319141624,-0.329459485464276,6,-2.63394703160382,1,0,0
"6",1002720451,"Stage one & Stage two Music theatre","Music","Music","USD","2014-08-13",3e+05,"2014-07-14",0,"failed",0,"US",0,0,3e+05,0,30,2014,7,0,"Music:Music",12.6115377536383,2.33414059864303,6,-2.63394703160382,0,0,1
"7",1003165056,"Mason-ry Silicone Koozie","Product Design","Design","USD","2014-08-08",7500,"2014-07-09",15720,"successful",660,"US",15720,15720,7500,1,30,2014,7,23.8181818181818,"Design:Product Design",8.9226582995244,-0.221567025377379,6,-2.63394703160382,1,1,1
"8",1003458038,"ONE WORLD - ONE YEAR","Documentary","Film & Video","USD","2014-08-14",68000,"2014-07-15",507,"failed",4,"US",507,507,68000,0,30,2014,7,126.75,"Film & Video:Documentary",11.1272629841582,1.14186181624996,6,-2.63394703160382,0,0,1
"9",1005636833,"The Nostalgic Restoration of Your Youth","Art","Art","USD","2014-08-10",10000,"2014-07-11",0,"failed",0,"US",0,0,10000,0,30,2014,7,0,"Art:Art",9.21034037197618,0.863160681427858,6,-2.63394703160382,0,0,1
"10",100608193,"Tactile Turn Mover & Shaker Pens - New Materials","Product Design","Design","USD","2014-08-22",30000,"2014-07-22",81981,"successful",829,"US",81981,81981,30000,1,31,2014,7,98.891435464415,"Design:Product Design",10.3089526606443,0.660424971041199,7,-1.63394703160382,0,0,0
"11",1006946922,"World's Biggest Dick Drawing","Art","Art","USD","2014-08-21",100,"2014-07-22",677,"successful",61,"US",677,677,100,1,30,2014,7,11.0983606557377,"Art:Art",4.60517018598809,-1.06871123284207,6,-2.63394703160382,1,1,1
"12",101173232,"The Lasagne Project Support","Food","Food","GBP","2014-08-29",30,"2014-07-30",1,"failed",1,"GB",1.7,1.66,49.75,0,30,2014,7,1,"Food:Food",3.9070104636046,-0.606394393570193,6,-2.63394703160382,0,0,1
"13",1011852325,"I just want to make pizza","Food","Food","USD","2014-08-09",200,"2014-07-10",0,"failed",0,"US",0,0,200,0,30,2014,7,0,"Food:Food",5.29831736654804,-0.149389629564739,6,-2.63394703160382,0,0,1
