"","id","blurb","launch","created"
"151",281784015,"""Climb aboard the “Nature Cruise of the Century\"" and witness the brainlessness of eternity. Will we adapt or face extinction?"",",1404231594,1404060516
"161",2005322375,"""Building Brooklyn's own creative venue for circus, theater and events of all types."",",1404797428,1401469084
"188",692677299,"""An historic building on Governors Island is transformed into a living market through this immersive site-specific event."",",1406063508,1405268577
"198",1902800387,"""Six seasons of TV's most beloved sci-fi drama packed into one night of hilarious musical absurdity."",",1406043323,1402708826
"212",1040703900,"""I've written, and am producing, a fun new play with a gorgeous cast for this year's Edfringe and it just needs a little extra dough :)"",",1404948441,1404945697
"225",1865309174,"""A live cinematic shadow puppet show about death and technology, premiering at the Museum of Contemporary Art Chicago in 2015"",",1405962700,1405371957
"228",242045252,"""Award-winning OSR Performance Ensemble brings the creepy, unlikely, bittersweet, macabre & beautiful world of Neil Gaiman to the stage."",",1405439973,1404266328
"231",506972141,"""The political and personal collide in a raw and intimate look at a pre-9/11 America: \""The Coming World\"" by Christopher Shinn"",",1404743477,1404094320
"236",1598767962,"""Lady Layton's Kick Starter Merchandise & Big Band campaign..needs YOU! Help me kick start my tour & career with much needed merchandise"",",1405342766,1404915474
"258",362206373,"""A ground-breaking new production of the beloved musical performed simultaneously in Spoken English and American Sign Language (ASL)."",",1405989094,1403223006
"278",260383075,"""Our fifth season is upon us: A wild new imagining of Titus Andronicus and our signature reading series \""Two Plays. One Conversation.\"""",",1405346680,1403032113
"287",181000326,"""Help us bring our production of Campo Maldito to New York AND San Francisco!"",",1404932751,1404425637
"290",1109095485,"""A rollicking new musical horror-comedy, filled with saucy antics, doomed romance, toe-tapping tunes and macabre merriment."",",1404484375,1377790584
"310",615129385,"""Inspiring wonder and encouraging curiosity through thought provoking talks, music, performances, stories and poetry."",",1405086297,1404729825
"395",123968191,"""The Jazz Singer is a dynamic musical based on Samson Raphaelson’s 1925 Broadway play “The Jazz Singer”."",",1405461579,1380246051
"455",143571975,"""A play within a play (within a play?) The \""Inception\"" of backyard musicals. With great power comes... little to no responsibility."",",1405993628,1403584177
"484",81626406,"""Four Directors.  Four One Acts.  Four Genres.  For You."",",1404932105,1404416571
"486",487234607,"""A new musical about a young girl who disappears without a trace, her father’s struggle to find her, and ultimately, himself."",",1404843142,1399063350
"491",228716506,"""The Ubuntu Theater Project returns to the Bay Area for the 2014 \""Breaking Chains\"" Festival - 6 shows, 3 cities, 1 ensemble"",",1404927410,1404890731
"559",1350918627,"""Two stories by Anton Chekhov adapted for the stage and performed back-to-back in a stunning live theatrical performance."",",1405923687,1403237800
"579",1916168067,"""The amazing, sort-of-true story of John Broadus Watson, father of Behaviorism and modern advertising: with singing, dancing rats!"",",1406175321,1402768449
"596",1075563254,"""Neo-Futurists from New York, Chicago and San Francisco unite to bring Too Much Light to the Edinburgh Fringe Festival!"",",1405195534,1404039733
"612",1407033710,"""If you help put in new seats you'll...SAVE OUR BUTTS!!!"",",1406922077,1400367976
"651",539977737,"""Dry Land is a play about girls, bath salts, bathing suits, rashes, love, and what happens in one locker room after everybody's left."",",1405968020,1405083765
"664",1754365602,"""A unique storytelling experience for one audience member at a time. Float aboard 'The Cloud' and explore friendship in the digital era."",",1404162941,1402082091
"674",101885555,"""What is destiny? Explore it with us this August at FringeNYC."",",1405743181,1403366917
"680",165520683,"""Deep Love is headed to the moon! (Via Oregon) Buy CDs, DVDs and get ticket info here. See how you can be a part of the journey!"",",1406897688,1396046532
"710",1770777228,"""A play for kids inspired by the true story of Roy and Silo, male Chinstrap penguins at the Central Park Zoo who caused a public outcry."",",1406521864,1405813212
"716",1452532893,"""A premiere night of performances by new experimental theater group overunder exploring what it means to let a freak flag fly."",",1406923485,1404925887
"718",69559766,"""Help bring a thrilling, new, parkour-inspired production of Shakespeare's Titus Andronicus to this atmospheric Peckham landmark."",",1405472037,1394637458
"739",255504752,"""Two brothers emerge from a grueling period of self-discovery in the desert and plant themselves hot out of the fire in Echo Park, LA."",",1406314326,1406147531
"740",966988932,"""What does safety really mean?  Safe As Houses is about life  in the time of the greatest change in society’s view of the 21st century."",",1406867431,1404771819
"751",1336375892,"""\""Best kids show of the Fringe!\""\nThe Neverland Players are returning to Minneapolis to perform at the 2014 Minnesota Fringe Festival!"",",1404164841,1403371935
"755",292425341,"""A Tail Of Two Cities is a set of adventures through the financial district of a city, exploring our relationship to the economic crisis"",",1404483037,1403602580
"775",1300082027,"""A sailor’s journey to hell and back! A stunning experience of redemption. Samuel Taylor Coleridge’s “The Rime of the Ancient Mariner\"""",",1406121199,1404227657
"798",746286694,"""Monstrously engaging tribute to Boris “Frankenstein” Karloff.  He sings!  He dances!  He growls!  It's Gooooooood!"",",1405948268,1401049555
"862",828553001,"""On the Internet you can be whoever you want to be. \nLoose Soul is an audio-visual journey down the rabbit hole called cyberspace."",",1405274180,1404483505
"869",1205266654,"""The Maple Shade Summer Theatre for kids was funded through state grants until now. We need you to keep it alive with the Arts Council."",",1404795366,1404151180
"896",1814740013,"""Expect a portrait exploration of the dark side of comedy and comics through the tintype film technique resulting in a photo exhibit."",",1404149600,1400287268
"920",549867255,"""A burlesque exploration of Tarot, featuring national and international performers."",",1405571000,1405561943
"940",704085118,"""An original play exploring the complications of romantic relationships in all forms."",",1404841270,1404229466
"954",1711617330,"""The first four-week performance run for our dance-theatre company, Geste Records, to be performed at The Yard Theatre in September."",",1406390457,1401632138
"1001",849752672,"""A Chicago staged reading of Jim Cartwright's 1992 play-with-music, \""The Rise and Fall of Little Voice.\"""",",1404833442,1404443594
"1040",326389449,"""Our supermarket cereal is a hashed hostage hold-up with chaos, crutches and Clubcards."",",1406573638,1406569950
"1058",466578127,"""Artistic Internship @ Ojai Playwrights Conference"",",1404337382,1402363109
"1102",961527138,"""FAIL BETTER... Beckett Moves UMO: Giddy, compelling, confounding, enlightening, new theatre. A love story, between UMO and Beckett."",",1404750939,1403892704
"1111",1303052531,"""The Storm Theatre needs help funding our upcoming season. Our first show will be a new play The Believers by Robert Carroll"",",1405985814,1405517970
"1127",1470351422,"""The 2 man improv show that swept Spain is back for the Barcelona Improv Festival. But needs your help."",",1406057525,1405875354
"1129",1632473982,"""Bring a touring character education play about making wise choices to elementary students in Kentuckiana. Vote Kylie for President!"",",1404140667,1402512498
"1181",358683577,"""'So we're looking through faulty eyes at what we understand only in terribly put together minds'."",",1405976005,1405965571
"1272",2073722586,"""The Tulip Tree is a project I have been passionate about for 5 years. It is an unforgettable story that has never been told."",",1404932004,1402865071
"1335",1294963601,"""Mingled Yarn make their Edinburgh debut with a subtle and surprising adaptation of Shakespeare’s Henry V."",",1405519195,1405515067
"1355",1253785229,"""Coraline The New Musical based on the novel Written by Neil Gaiman with a thrilling new script and score. Submitting this show to NYMF."",",1405881567,1405183187
"1455",1073946694,"""I want to produce the first-ever all-pug production of \""Hamlet.\""  As you can imagine, this will require finding very talented pugs."",",1404769819,1404768774
"1462",1455797600,"""“Hand Me Down Miracles” was recorded in Nashville, TN, by producer Sean Giovanni. We think it's alt-folk gold, and we hope you agree."",",1404930395,1374772901
"1492",1676284525,"""Clairemont Act One will be presenting \""Crimes of the Heart\"" by Beth Henley on Friday, October 17 and Saturday, October 18, 2014."",",1406750355,1404946985
"1511",753013625,"""A fantastic comedy about the journey of two malcontents as they try to escape life and end up creating what they are running away from."",",1405116438,1404612029
"1581",1245759472,"""Youth Theatre is a magical experience for everyone! Help us bring \""The Pale Pink Dragon\"" to life at the Barn Swallow Theatre."",",1406743654,1406604696
"1613",1358727372,"""You like things that are funny. You (secretly) like murder. So why not support the NYC return of this hilarious whodunit?"",",1406039696,1404864228
"1616",1129825276,"""A group of young emerging theater artists present new work. AFTER ETERNITY is a play about love, discovery, and shrinking palaces."",",1404138215,1403562494
"1704",1221403322,"""Sylvia Theater is Digital!!! See how you can save money and help Fund your Favorite Movie & Music Venue, Discounted Tickets & more!"",",1404419865,1401884127
"1708",1701131049,"""Help us build a 200 seat theater and classroom space in North Andover, MA. Let's get kids off the screens, and into the spotlight!"",",1405974243,1400350682
"1737",512394179,"""To create a fund to support Palestinian artists, and Israeli artists who reject state funds, to come to the Edinburgh Fringe."",",1406930052,1406909260
"1786",1581037374,"""An Asian-Jewish-American family collides with music, food, and identity crises in this world premiere New York theater production."",",1406908078,1405466083
"1792",888789797,"""Help fund this clown show about drugs and alcohol!"",",1406245138,1406236768
"1817",338051724,"""Danish Face, a twisted hour of comic storytelling, written and performed by Anna Andresen, will premiere in Edinburgh this August"",",1404223839,1402949441
"1894",225367743,"""A heart-pounding trek through America's past"",",1406751689,1406400786
"1904",1415343521,"""Skyline Board Trustees have offered matching grants to help fund next season's production of Dreamgirls! Your donation will be doubled!"",",1406316312,1403657059
"1916",1862854869,"""Gorgeousness that which sits in the root of Loveness.\nOther than this there is no endearment for or otherwise\nto describe."",",1404680075,1403053099
"1946",298791533,"""A character driven, coming of age play set during WWII heading up to Edinburgh Free Fringe festival from 17th-23rd August."",",1404325701,1402500505
"2004",399822154,"""Why should adults have all the fun? CHIMP wants to bring improvisation and performance opportunities to children ages 10 to 16."",",1406857838,1406003665
"2019",1468871521,"""\""3 Days In Savannah\"" explores the issues of love, racism, and regret while reminding us that, \""life is a game and love is the prize.\"""",",1404308883,1404302352
"2037",1926205250,"""Jestia and Raedon is a brand new romantic comedy play going to the Edinburgh Fringe Festival this summer."",",1405583108,1405370859
"2069",698303421,"""Phantom Pain - a new play promoting mental health awareness written and performed by fledgling theatre company Unhinged Creations."",",1404749446,1403183231
"2117",201342786,"""We are a company of crafted and trained actors, writers and directors dedicated to the principles set by the legendary Group Theatre."",",1406782093,1405358370
"2225",206935216,"""Acting Like a Man is a farcical look at one person's love life."",",1406929544,1401978736
"2282",341349355,"""Live! On stage Q@A, interactive party with some of the original cast of the popular 80's t.v show Glow. It's about time !!"",",1406668495,1405974255
"2412",1023487866,"""The Rajah's Son & Princess Labam - an original Indian Musical Fairytale by Nishi Rajan"",",1406468890,1406405081
"2443",1958748322,"""A play in three acts written by Katie Faris and Maggie Boles to be performed at the Found Theatre in Long Beach August 1, 2, and 3"",",1405013984,1404454088
"2460",854331990,"""Help EHAC continue to provide quality affordable theater for youth and young adults in East Haven!"",",1404708430,1398639193
"2469",1931463918,"""Two strangers on a bridge in the dead of night, a game of dominoes, and a value ready meal - by upcoming HighTide Escalator Playwright."",",1404295310,1401808570
"2537",1715555380,"""A first play about a first kiss, Making the Move is going to the Edinburgh Fringe festival.  Join the party, fall in love.  Help us!"",",1406831445,1406705524
"2577",2308911,"""Two nights of groundbreaking curated Theatrical Bellydance performances in the Manhattan Movement & Arts Center theater at NYTBC 2014."",",1405629720,1402091973
"2685",1182766098,"""We are going on tour & taking our motor theatre to the Edinburgh Fringe! We are hoping to raise money to help get our show on the road!"",",1406302490,1406209311
"2688",1423510001,"""Last month, the US government advised our performer not to travel, changing his name on our flights to Sweden costs money we don't have"",",1406292168,1406287972
"2790",2104442026,"""New play about the comfort and the danger of living with memories. Gay themes. Experienced team looking to present first reading"",",1404997548,1404858497
"2816",1117315024,"""And Still I Rise-For The Rainbow Ladies Who Chose Life When Death Knocked--True Breast Cancer Champions Stories of survival and life!"",",1404158083,1399757915
"2820",93064994,"""Jeremy Seghers, in collaboration with Kate Davis and UPJ, presents Will Eno's \""Thom Pain (based on nothing)\"" starring Bret Sarlouis."",",1405281641,1405271736
"2837",468138435,"""Coping- a new musical from Queen Mary Theatre Company, performing at The Edinburgh Fringe Festival, feat exciting new writing and music"",",1405981078,1405689480
"2859",986784594,"""A hilarious comedy starring Sarah, a recent grad, who uses the magic of a mystical open mic to solve the problems of her relationships."",",1405378414,1404874022
"2904",1883477268,"""An new musical from Laura Grill & Misha Chowdhury about relationships, Relationships, and the moments that change everything."",",1404153482,1403975940
"2958",769732947,"""Please help FellSwoop tour nationally & perform at Edinburgh Fringe with the world-first stage-adaptation of Patrick DeWitt's novel."",",1404823967,1403976066
